name,x,y,z,active,renderers,enabled,minY,terrainY
Grove tree 239,-108.1185,-6.969688,-204.8678,True,3,3,-6.971381,-7.091381
Grove tree 211,-121.8753,-5.44093,-43.87963,True,3,3,-5.442351,-5.562351
Grove tree 001,170.8466,-0.1342715,-188.9886,True,3,3,-0.1347084,-0.2547083
Grove tree 230,149.0602,-2.141797,-159.2951,True,3,3,-2.143189,-2.263189
Grove tree 038,142.8183,-2.157095,-181.7076,True,3,3,-2.157488,-2.277488
BroadleafTree_05_Green,148.8188,-2.581632,-243.1962,True,3,3,-2.581931,-2.703012
Grove tree 232,163.8018,0.9972509,-159.0963,True,3,3,0.9968348,0.8768349
Grove tree 163,-64.98769,-7.812238,-307.8078,True,3,3,-7.813908,-7.933908
Grove tree 189,-151.8658,-6.733319,-85.61846,True,3,3,-6.733431,-6.853431
Grove tree 113,146.7015,-1.759368,-227.263,True,3,3,-1.759505,-1.879505
BroadleafTree_02_Green,-165.2562,-6.799872,-94.82806,True,3,3,-6.799928,-6.919985
BroadleafTree_02_Green,-126.7432,-6.475484,-67.33489,True,3,3,-6.475549,-6.596751
Grove tree 070,-49.20874,-5.150578,-82.08856,True,3,3,-5.150688,-5.270688
Lakeside willow 9,234.3363,1.986969,-47.17638,True,3,3,1.98533,1.836966
Grove tree 064,2.159447,-3.509655,-105.1738,False,3,3,-3.510085,-3.974877
BroadleafTree_02_Green,-45.72933,-5.796015,-91.3991,True,3,3,-5.796086,-5.916538
Grove tree 234,161.9474,0.8032228,-149.4548,True,3,3,0.8030825,0.6830826
Grove tree 075,-5.992844,-7.42605,-350.8106,True,3,3,-7.426146,-7.546145
Grove tree 039,152.7544,-0.9194249,-168.338,True,3,3,-0.9204559,-1.040456
BroadleafTree_05_Green,-274.1615,-8.228375,-198.0126,True,3,3,-8.228602,-8.349487
Grove tree 226,150.8606,-0.2929891,-183.1879,True,3,3,-0.2945557,-0.4145555
BroadleafTree_05_Green,-59.45866,-5.491955,-257.169,True,3,3,-5.492186,-5.612067
Grove tree 205,-123.7671,-5.962091,-60.12112,False,3,3,-5.962475,-6.495146
Grove tree 037,77.76512,-6.608848,-290.1801,True,3,3,-6.609241,-6.729241
Lakeside willow 4,204.6853,1.380852,-103.8934,True,3,3,1.380168,1.23086
Grove tree 187,-150.1035,-6.674487,-92.13382,True,3,3,-6.675942,-6.795942
BroadleafTree_05_Green,119.4574,-3.260782,-229.2029,True,3,3,-3.261032,-3.381229
BroadleafTree_02_Green,134.9153,-3.751628,-266.5491,True,3,3,-3.751689,-3.872088
Grove tree 116,151.4095,-1.499529,-220.8649,True,3,3,-1.499908,-1.619908
Grove tree 012,-42.67773,-6.009706,-195.7781,True,3,3,-6.009814,-6.129814
Grove tree 224,141.9361,-1.346035,-187.2786,True,3,3,-1.347724,-1.467724
Grove tree 204,-129.0453,-6.459408,-57.01123,True,3,3,-6.459505,-6.579505
Grove tree 176,-289.0563,-8.867576,-183.2335,True,3,3,-8.868681,-8.988686
Grove tree 013,-38.26018,-6.188364,-190.6032,True,3,3,-6.18895,-6.308949
Grove tree 045,103.3893,-4.408672,-259.7463,True,3,3,-4.410192,-4.530191
Grove tree 062,131.255,-1.808043,-210.1946,True,3,3,-1.808586,-1.928586
Grove tree 121,104.5504,-5.929952,-400.793,True,3,3,-5.931317,-6.051317
