x,z,grade,area_m2
-100.835175,-82.38492,0.06721805,4.35870934
-128.350418,-134.312454,0.0190914683,34.86981
-135.975357,-148.737671,0.0333700255,8.717699
-140.615784,-157.389587,0.0312128812,4.3588357
-137.958572,-151.600357,0.03406945,4.358829
-132.316833,-140.037857,0.02912033,17.4353714
-147.5667,-168.888245,0.008923454,17.43522
-157.17485,-186.176147,0.0114327231,8.717415
-153.4442,-178.959549,0.0104361633,2.17935419
-151.369492,-174.621628,0.0250544548,1.08958566
-152.534424,-177.524216,0.0218519177,1.08960068
-149.131088,-170.291687,0.03619299,1.08968377
-147.638824,-167.405045,0.09619359,1.08956432
-150.377884,-173.190262,0.03946901,1.089672
-152.288956,-177.536179,0.01089754,0.5448435
-151.124023,-174.633591,0.0130242975,0.544836
-141.924973,-157.325729,0.01266074,17.4352512
-133.298721,-139.98996,0.029120205,8.717277
-137.284561,-148.673813,0.03332533,4.35863
-139.941757,-154.463028,0.0863493457,4.358474
-124.85553,-125.604675,0.0180995148,17.4348488
-121.779457,-118.356171,0.0101913363,4.358674
-119.868378,-114.010254,0.0248228479,2.17934775
-120.706055,-116.92881,0.0103563806,2.17932415
-122.708672,-122.749962,0.00349696167,8.717319
-116.556557,-108.25293,0.017239945,8.717377
-113.526283,-101.742043,0.0368543081,1.08970129
-112.57074,-99.5690842,0.07868436,0.544882834
-112.989563,-101.028358,0.0368513651,0.544885457
-111.078491,-96.68244,0.088328436,1.08970714
-111.952209,-98.8594,0.0802413449,0.5448553
-112.74408,-101.040337,0.0368515961,0.272412866
-112.325256,-99.5810547,0.07868633,0.272411585
-114.737007,-105.382263,0.03888325,4.35876465
-117.976707,-112.62278,0.0248233043,4.358704
-119.396858,-116.992645,0.0101797888,2.179392
-118.886482,-114.058128,0.0248233024,2.17938519
-121.726784,-122.797844,0.00349662337,4.358702
-120.4703,-118.420021,0.0100120679,2.17934322
-119.377441,-114.034187,0.0248238519,1.08968091
-119.887817,-116.968712,0.0101803485,1.08968437
-108.908745,-93.45892,0.0683040842,1.08968127
-108.676453,-92.360466,0.05000729,0.544842064
-108.39492,-93.11405,0.09514999,0.544845045
-107.930305,-90.91714,0.0524479225,1.08969367
-107.881081,-92.76917,0.09045588,0.5448677
-108.162621,-92.01559,0.06681228,0.544849038
-106.438049,-88.0304947,0.0556227639,2.1793716
-107.066307,-90.21942,0.07096011,1.08967853
-107.530891,-92.41632,0.09744811,0.544834435
-107.439362,-90.94108,0.0659814,0.544830739
