portal_local_x,portal_local_z,world_x,world_z,terrain_y
0.5,5.5,354.3481,26.49545,0.1234207
1,5.5,354.8015,26.28462,0.1234207
1.5,5.5,355.2549,26.07379,0.1234207
2,5.5,355.7083,25.86296,0.1234207
2.5,5.5,356.1617,25.65213,0.1234207
3,5.5,356.6151,25.44131,0.1234207
3.5,5.5,357.0684,25.23046,0.1234207
4,5.5,357.5218,25.01963,0.1234207
4.5,5.5,357.9752,24.8088,0.1234207
5,5.5,358.4286,24.59795,0.3111229
5.5,5.5,358.882,24.38714,0.4062347
6,5.5,359.3353,24.17631,0.4659348
6.5,5.5,359.7887,23.96546,0.5328465
7,5.5,360.2421,23.75464,0.634388
7.5,5.5,360.6954,23.54381,0.7909145
8,5.5,361.1488,23.33298,0.9474411
8.5,5.5,361.6022,23.12215,1.006527
9,5.5,362.0555,22.9113,1.042068
9.5,5.5,362.5089,22.70047,1.176538
10,5.5,362.9623,22.48964,1.208614
10.5,5.5,363.4156,22.27882,1.19919
11,5.5,363.8691,22.06797,1.189798
11.5,5.5,364.3224,21.85715,1.22538
12,5.5,364.7758,21.64632,1.280493
12.5,5.5,365.2292,21.43548,1.335594
13,5.5,365.6826,21.22465,1.343178
13.5,5.5,366.1359,21.01381,1.330151
14,5.5,366.5893,20.80298,1.319099
14.5,5.5,367.0427,20.59215,1.269547
15,5.5,367.496,20.38132,1.201738
15.5,5.5,367.9495,20.17049,1.133884
16,5.5,368.4028,19.95965,1.038244
16.5,5.5,368.8562,19.74884,0.9837933
17,5.5,369.3096,19.53799,0.9293098
17.5,5.5,369.7629,19.32716,0.8362885
18,5.5,370.2163,19.11633,0.7322922
18.5,5.5,370.6697,18.90548,0.6383934
19,5.5,371.1231,18.69466,0.5824432
19.5,5.5,371.5764,18.48382,0.5473614
20,5.5,372.0298,18.273,0.5050964
20.5,5.5,372.4832,18.06217,0.4146652
21,5.5,372.9366,17.85134,0.3835239
21.5,5.5,373.39,17.64049,0.3641605
22,5.5,373.8433,17.42966,0.3372231
22.5,5.5,374.2967,17.21883,0.2853088
23,5.5,374.7501,17.008,0.2226582
23.5,5.5,375.2035,16.79718,0.1878929
24,5.5,375.6568,16.58633,0.1708393
24.5,5.5,376.1102,16.3755,0.1452103
25,5.5,376.5636,16.16468,0.1245327
25.5,5.5,377.017,15.95383,0.1249733
26,5.5,377.4703,15.743,0.1256638
26.5,5.5,377.9237,15.53217,0.1257591
27,5.5,378.3771,15.32133,0.1254368
27.5,5.5,378.8305,15.11051,0.1251144
28,5.5,379.2838,14.89968,0.1253796
28.5,5.5,379.7372,14.68884,0.1260719
29,5.5,380.1906,14.47801,0.1267624
29.5,5.5,380.644,14.2672,0.1268806
30,5.5,381.0974,14.05634,0.1265583
-2,6,352.2921,28.00302,0.1234207
-1.5,6,352.7455,27.79217,0.1234207
-1,6,353.1989,27.58132,0.1234207
-0.5,6,353.6522,27.37051,0.1234207
0,6,354.1057,27.15966,0.1234207
0.5,6,354.559,26.94884,0.1234207
1,6,355.0124,26.73801,0.1234207
1.5,6,355.4658,26.52716,0.1234207
2,6,355.9191,26.31635,0.1234207
2.5,6,356.3725,26.10551,0.1234207
3,6,356.8259,25.89467,0.1234207
3.5,6,357.2793,25.68384,0.1234207
4,6,357.7326,25.47302,0.1234207
4.5,6,358.186,25.26217,0.204895
5,6,358.6394,25.05134,0.40345
5.5,6,359.0928,24.84051,0.5492687
6,6,359.5461,24.62968,0.6089706
6.5,6,359.9995,24.41886,0.6686707
7,6,360.4529,24.20801,0.8721104
7.5,6,360.9063,23.99717,0.989912
8,6,361.3596,23.78635,1.146439
8.5,6,361.813,23.5755,1.254751
9,6,362.2664,23.36469,1.34273
9.5,6,362.7198,23.15385,1.477226
10,6,363.1732,22.94302,1.561834
10.5,6,363.6265,22.73219,1.552408
11,6,364.0799,22.52136,1.557604
11.5,6,364.5333,22.31053,1.609837
12,6,364.9866,22.09968,1.619488
12.5,6,365.44,21.88886,1.653143
13,6,365.8934,21.67802,1.68594
13.5,6,366.3468,21.46718,1.674198
14,6,366.8001,21.25637,1.663149
14.5,6,367.2535,21.04552,1.634323
15,6,367.7069,20.8347,1.566513
15.5,6,368.1603,20.62387,1.485743
16,6,368.6136,20.41303,1.378162
16.5,6,369.067,20.20219,1.26355
17,6,369.5204,19.99136,1.151367
17.5,6,369.9738,19.78053,1.079811
18,6,370.4272,19.5697,0.9848232
18.5,6,370.8805,19.35888,0.8909569
19,6,371.3339,19.14804,0.8135223
19.5,6,371.7873,18.9372,0.7784405
20,6,372.2407,18.72637,0.6853199
20.5,6,372.694,18.51553,0.5637932
21,6,373.1474,18.30471,0.5045376
21.5,6,373.6008,18.09388,0.445282
22,6,374.0542,17.88303,0.4013004
22.5,6,374.5075,17.67221,0.3386421
23,6,374.9609,17.46136,0.2759743
23.5,6,375.4143,17.25055,0.2245598
24,6,375.8677,17.03972,0.20751
24.5,6,376.321,16.82889,0.165472
25,6,376.7744,16.61804,0.1255455
25.5,6,377.2278,16.40721,0.1259155
26,6,377.6812,16.19637,0.1262856
26.5,6,378.1346,15.98554,0.1264496
27,6,378.5879,15.77473,0.1261292
27.5,6,379.0413,15.56388,0.1258068
28,6,379.4947,15.35305,0.1257019
28.5,6,379.948,15.14222,0.1263924
29,6,380.4014,14.93137,0.1270847
29.5,6,380.8548,14.72055,0.1275711
30,6,381.3082,14.50972,0.1272507
-2,6.5,352.503,28.45637,0.1234207
-1.5,6.5,352.9563,28.24554,0.1234207
-1,6.5,353.4097,28.03471,0.1234207
-0.5,6.5,353.8631,27.82388,0.1234207
0,6.5,354.3164,27.61304,0.1234207
0.5,6.5,354.7698,27.40221,0.1234207
1,6.5,355.2232,27.19138,0.1234207
1.5,6.5,355.6766,26.98056,0.1234207
2,6.5,356.13,26.7697,0.1234207
2.5,6.5,356.5833,26.55887,0.1234207
3,6.5,357.0367,26.34805,0.1234207
3.5,6.5,357.4901,26.13721,0.1234207
4,6.5,357.9435,25.92639,0.1234207
4.5,6.5,358.3969,25.71556,0.2972221
5,6.5,358.8502,25.50473,0.4957771
5.5,6.5,359.3036,25.29389,0.6923027
6,6.5,359.757,25.08305,0.7520046
6.5,6.5,360.2104,24.87222,0.9018822
7,6.5,360.6637,24.66138,1.155512
7.5,6.5,361.1171,24.45057,1.272789
8,6.5,361.5705,24.23972,1.390123
8.5,6.5,362.0238,24.02889,1.512514
9,6.5,362.4772,23.81807,1.643452
9.5,6.5,362.9306,23.60723,1.777948
10,6.5,363.384,23.39641,1.912443
10.5,6.5,363.8373,23.18556,1.905663
11,6.5,364.2907,22.97473,1.949484
11.5,6.5,364.7441,22.7639,2.023077
12,6.5,365.1975,22.55305,2.034676
12.5,6.5,365.6509,22.34224,2.044416
13,6.5,366.1042,22.1314,2.047955
13.5,6.5,366.5576,21.92057,2.018288
14,6.5,367.011,21.70974,2.007198
14.5,6.5,367.4644,21.49889,1.996147
15,6.5,367.9177,21.28806,1.93129
15.5,6.5,368.3711,21.07723,1.833426
16,6.5,368.8245,20.86641,1.728949
16.5,6.5,369.2779,20.65557,1.614979
17,6.5,369.7313,20.44475,1.500366
17.5,6.5,370.1846,20.23392,1.356701
18,6.5,370.638,20.02307,1.239326
18.5,6.5,371.0913,19.81224,1.143488
19,6.5,371.5447,19.60141,1.049589
19.5,6.5,371.9981,19.39058,1.009504
20,6.5,372.4515,19.17974,0.8655682
20.5,6.5,372.9049,18.96891,0.7211628
21,6.5,373.3582,18.75808,0.6536808
21.5,6.5,373.8116,18.54725,0.5944271
22,6.5,374.265,18.33643,0.4672318
22.5,6.5,374.7184,18.12558,0.3921566
23,6.5,375.1717,17.91474,0.329298
23.5,6.5,375.6251,17.70392,0.2666378
24,6.5,376.0785,17.49307,0.2380676
24.5,6.5,376.5319,17.28226,0.1857319
25,6.5,376.9852,17.07142,0.1333981
25.5,6.5,377.4386,16.86059,0.1269283
26,6.5,377.892,16.64976,0.1273003
26.5,6.5,378.3454,16.43893,0.127142
27,6.5,378.7988,16.2281,0.1268196
27.5,6.5,379.2521,16.01725,0.1264992
28,6.5,379.7055,15.80643,0.1261768
28.5,6.5,380.1589,15.59559,0.1267147
29,6.5,380.6122,15.38476,0.1274071
29.5,6.5,381.0656,15.17392,0.1280994
30,6.5,381.519,14.96309,0.1279411
-2,7,352.7138,28.90976,0.1234207
-1.5,7,353.1672,28.69891,0.1234207
-1,7,353.6205,28.48809,0.1234207
-0.5,7,354.0739,28.27726,0.1234207
0,7,354.5273,28.06643,0.1234207
0.5,7,354.9807,27.85559,0.1234207
1,7,355.4341,27.64474,0.1234207
1.5,7,355.8875,27.43392,0.1234207
2,7,356.3408,27.22309,0.1234207
2.5,7,356.7942,27.01226,0.1234207
3,7,357.2476,26.80142,0.1234207
3.5,7,357.7009,26.59059,0.1234207
4,7,358.1543,26.37976,0.2145405
4.5,7,358.6077,26.16893,0.4153309
5,7,359.061,25.9581,0.5881062
5.5,7,359.5144,25.74725,0.7866592
6,7,359.9678,25.53643,0.8950424
6.5,7,360.4211,25.3256,1.135328
7,7,360.8746,25.11476,1.38942
7.5,7,361.3279,24.90394,1.55619
8,7,361.7813,24.69311,1.673468
8.5,7,362.2347,24.48228,1.842026
9,7,362.688,24.27143,1.9863
9.5,7,363.1414,24.0606,2.08798
10,7,363.5948,23.84977,2.213104
10.5,7,364.0482,23.63893,2.267712
11,7,364.5015,23.42812,2.341249
11.5,7,364.955,23.21727,2.414902
12,7,365.4083,23.00645,2.449862
12.5,7,365.8617,22.79562,2.459558
13,7,366.3151,22.58477,2.450548
13.5,7,366.7684,22.37394,2.418262
14,7,367.2218,22.16311,2.375637
14.5,7,367.6752,21.95228,2.340197
15,7,368.1286,21.74145,2.285671
15.5,7,368.5819,21.53061,2.181196
16,7,369.0353,21.31978,2.076689
16.5,7,369.4887,21.10895,1.966417
17,7,369.942,20.89813,1.851793
17.5,7,370.3954,20.68727,1.674986
18,7,370.8488,20.47646,1.530605
18.5,7,371.3022,20.26561,1.418722
19,7,371.7556,20.05478,1.306803
19.5,7,372.2089,19.84396,1.190182
20,7,372.6624,19.63311,1.04579
20.5,7,373.1157,19.4223,0.9013977
21,7,373.5691,19.21147,0.802845
21.5,7,374.0225,19.0006,0.7378139
22,7,374.4758,18.78979,0.5623322
22.5,7,374.9292,18.57896,0.4461708
23,7,375.3826,18.36812,0.3831825
23.5,7,375.836,18.15729,0.3202019
24,7,376.2893,17.94646,0.2583294
24.5,7,376.7427,17.73563,0.2059956
25,7,377.1961,17.5248,0.153656
25.5,7,377.6495,17.31398,0.127943
26,7,378.1028,17.10312,0.1281567
26.5,7,378.5562,16.8923,0.1278343
27,7,379.0096,16.68147,0.127512
27.5,7,379.463,16.47062,0.1271915
28,7,379.9164,16.25981,0.1268692
28.5,7,380.3697,16.04897,0.127037
29,7,380.8231,15.83814,0.1277275
29.5,7,381.2765,15.62731,0.1284199
30,7,381.7298,15.41648,0.1286335
-2,7.5,352.9246,29.36313,0.1234207
-1.5,7.5,353.378,29.1523,0.1234207
-1,7.5,353.8314,28.94147,0.1234207
-0.5,7.5,354.2847,28.73062,0.1234207
0,7.5,354.7381,28.5198,0.1234207
0.5,7.5,355.1915,28.30896,0.1234207
1,7.5,355.6449,28.09814,0.1234207
1.5,7.5,356.0982,27.88731,0.1234207
2,7.5,356.5516,27.67646,0.1234207
2.5,7.5,357.005,27.46564,0.1234207
3,7.5,357.4584,27.25481,0.1234207
3.5,7.5,357.9117,27.04396,0.1234207
4,7.5,358.3651,26.83313,0.3390388
4.5,7.5,358.8185,26.6223,0.5768414
5,7.5,359.2719,26.41147,0.743227
5.5,7.5,359.7253,26.20064,0.9096565
6,7.5,360.1786,25.98982,1.114655
6.5,7.5,360.632,25.77897,1.368839
7,7.5,361.0854,25.56816,1.622946
7.5,7.5,361.5388,25.3573,1.839645
8,7.5,361.9922,25.14646,1.956923
8.5,7.5,362.4455,24.93565,2.171429
