row,worldX,worldZ,designY,terrainY
3,555.0522,-393.6679,9.130926,9.029984
3,555.5239,-393.8412,9.127737,9.011023
3,555.9955,-394.0143,9.124819,8.989689
3,556.4673,-394.1876,9.12214,8.935438
3,556.939,-394.3607,9.119665,8.882257
3,557.4106,-394.534,9.117357,8.829065
3,557.8823,-394.7072,9.115179,8.777676
3,558.3541,-394.8803,9.113091,8.696218
3,558.8257,-395.0536,9.111053,8.604687
3,559.2974,-395.2267,9.109025,8.518764
3,559.7692,-395.4,9.106965,8.434107
3,559.9438,-394.9242,9.104815,8.538704
3,560.1185,-394.4484,9.10255,8.635008
3,560.2932,-393.9727,9.100131,8.72415
3,560.4679,-393.4969,9.097521,8.760609
3,560.6426,-393.0212,9.094682,8.791792
3,560.8173,-392.5454,9.09158,8.822964
3,560.992,-392.0696,9.088184,8.854168
3,561.1666,-391.5939,9.084464,8.868
3,561.3414,-391.1181,9.080396,8.878857
3,561.5161,-390.6424,9.075954,8.889698
3,561.6908,-390.1666,9.071123,8.893591
3,561.8654,-389.6908,9.065885,8.897768
3,562.0402,-389.2151,9.060229,8.906387
3,562.2148,-388.7393,9.05415,8.915417
3,562.3895,-388.2635,9.047641,8.924448
3,562.5642,-387.7878,9.040704,8.935095
3,562.739,-387.3121,9.033344,8.947744
3,562.9136,-386.8363,9.025571,8.952782
3,563.0883,-386.3606,9.017396,8.956253
3,563.263,-385.8848,9.008836,8.950935
3,563.4377,-385.409,8.999911,8.918102
3,563.6123,-384.9332,8.990646,8.885277
3,564.0983,-385.1117,8.980861,8.873444
3,564.5841,-385.2901,8.970779,8.88586
3,565.0699,-385.4684,8.960439,8.865421
3,565.5557,-385.6469,8.949874,8.837296
3,566.0415,-385.8252,8.939125,8.811008
3,566.5273,-386.0036,8.928235,8.793728
3,567.0132,-386.182,8.917246,8.767937
3,567.499,-386.3604,8.9062,8.742142
3,567.9849,-386.5388,8.895144,8.72674
3,568.4707,-386.7172,8.884123,8.714125
3,568.9565,-386.8956,8.873178,8.701508
3,569.4424,-387.074,8.862355,8.695986
3,569.9282,-387.2523,8.851695,8.692495
3,570.4141,-387.4308,8.841239,8.67889
3,570.8998,-387.6092,8.831026,8.668974
3,571.3857,-387.7875,8.821092,8.660715
3,571.8715,-387.9659,8.81147,8.652454
3,572.3574,-388.1443,8.80219,8.638945
3,572.8431,-388.3227,8.79328,8.623787
3,573.329,-388.5011,8.784761,8.608627
3,573.8148,-388.6795,8.776656,8.599506
3,574.3007,-388.8579,8.768977,8.587868
3,574.7865,-389.0363,8.761736,8.573406
3,575.2723,-389.2147,8.75494,8.560431
4,551.1236,-392.7048,9.159864,9.05341
4,551.6187,-392.8866,9.153031,9.05341
4,552.1139,-393.0684,9.146622,9.05341
4,552.6091,-393.2502,9.140629,9.05341
4,553.1042,-393.4321,9.135043,9.052591
4,553.5994,-393.6139,9.129852,9.051559
4,554.0945,-393.7957,9.125036,9.050669
4,554.5897,-393.9775,9.120576,9.033949
4,555.0848,-394.1593,9.116446,9.012825
4,555.58,-394.3412,9.112618,8.991529
4,556.0752,-394.5229,9.109063,8.852377
4,556.5703,-394.7048,9.105748,8.796537
4,557.0654,-394.8866,9.102637,8.740711
4,557.5607,-395.0684,9.099694,8.686789
4,558.0558,-395.2502,9.096878,8.628242
4,558.551,-395.432,9.094151,8.532173
4,559.0461,-395.6139,9.091472,8.443138
4,559.5413,-395.7957,9.088798,8.354307
4,560.0364,-395.9775,9.086089,8.263472
4,560.2111,-395.5017,9.083416,8.355217
4,560.3858,-395.026,9.080636,8.447573
4,560.5605,-394.5502,9.077716,8.539888
4,560.7352,-394.0745,9.074621,8.632215
4,560.9099,-393.5987,9.07132,8.678013
4,561.0846,-393.123,9.067781,8.715168
4,561.2593,-392.6472,9.063978,8.750469
4,561.434,-392.1714,9.059884,8.781641
4,561.6086,-391.6956,9.055476,8.799839
4,561.7834,-391.2199,9.050734,8.810677
4,561.9581,-390.7442,9.045638,8.821535
4,562.1328,-390.2684,9.040175,8.835434
4,562.3074,-389.7926,9.034335,8.851568
4,562.4822,-389.3169,9.028107,8.863487
4,562.6569,-388.8411,9.021488,8.87252
4,562.8315,-388.3654,9.014477,8.88155
4,563.0062,-387.8896,9.007074,8.891424
4,563.181,-387.4138,8.999288,8.904083
4,563.3556,-386.938,8.991124,8.916744
4,563.5303,-386.4623,8.982596,8.929178
4,563.705,-385.9865,8.973721,8.931616
4,563.8798,-385.5108,8.964514,8.898788
4,564.405,-385.7037,8.95399,8.898058
4,564.9304,-385.8966,8.943121,8.867641
4,565.4558,-386.0895,8.931944,8.833126
