object,x,z,area,grade
Road 471332807 ,563.2343,-356.4846,0.06984106,0.1592887
Road 471332807 ,563.4864,-356.668,0.06984106,0.1679269
Road 471332807 ,562.8589,-356.4579,0.1396822,0.1655805
Road 471332807 ,563.7343,-356.4789,0.1396879,0.09177192
Road 471332807 ,563.4821,-356.2955,0.1396879,0.1631756
Road 471332807 ,562.3561,-356.2153,0.5587407,0.165584
Road 471332807 ,564.8574,-356.3108,1.117526,0.0959414
Road 471332807 ,561.8605,-356.5935,0.5587974,0.1655851
Road 471332807 ,562.8618,-356.7062,0.1396937,0.1709524
Road 471332807 ,563.3632,-356.8246,0.1396936,0.09571226
Road 471332807 ,562.614,-356.8954,0.2793873,0.1514997
Road 471332807 ,561.3647,-356.9718,1.117549,0.1655861
Road 471332807 ,564.8517,-355.8141,1.117526,0.09218756
Road 471332807 ,562.8519,-355.8371,1.117526,0.1695797
Road 471332807 ,565.8459,-355.3059,2.23503,0.09790573
Road 471332807 ,562.8404,-354.8438,1.117527,0.1725116
Road 471332807 ,564.8403,-354.8208,1.117527,0.09776641
Road 471332807 ,561.8462,-355.352,2.235076,0.1696319
Road 471332807 ,564.8345,-354.3242,1.11748,0.09777478
Road 471332807 ,562.8347,-354.3472,1.11748,0.1725143
Road 471332807 ,565.8288,-353.8161,2.235006,0.09798582
Road 471332807 ,562.8232,-353.3539,1.117526,0.1725118
Road 471332807 ,564.8232,-353.3309,1.117526,0.09789472
Road 471332807 ,561.829,-353.862,2.235006,0.1725145
Road 471332807 ,564.8174,-352.8343,1.117527,0.09790232
Road 471332807 ,562.8176,-352.8573,1.117527,0.1725181
Road 471332807 ,565.8116,-352.3261,2.235122,0.09862564
Road 471332807 ,562.8062,-351.864,1.117481,0.1725139
Road 471332807 ,564.806,-351.841,1.117481,0.09831154
Road 471332807 ,561.812,-352.3722,2.234894,0.1725174
Road 471332807 ,564.8003,-351.3444,1.117435,0.09831267
Road 471332807 ,562.8005,-351.3674,1.117435,0.1725145
Road 471332807 ,565.7945,-350.8363,2.234848,0.09904753
Road 471332807 ,562.789,-350.3741,1.117527,0.185883
Road 471332807 ,564.7889,-350.3512,1.117527,0.09873568
Road 471332807 ,561.7948,-350.8823,2.235076,0.1732097
Road 471332807 ,564.7832,-349.8545,1.11748,0.09873189
Road 471332807 ,562.7833,-349.8775,1.11748,0.1858789
Road 471332807 ,565.7774,-349.3464,2.234961,0.09946422
Road 471332807 ,562.7719,-348.8842,1.117617,0.2049176
Road 471332807 ,564.7718,-348.8612,1.117617,0.09915323
Road 471332807 ,561.7776,-349.3923,2.235234,0.1888332
