object,triangle,x,y,z,areaM2,grade
"Continuous asphalt network",70,13.8799257,-7.744551,-217.34697,15.77558,0.0330363326
"Continuous asphalt network",71,19.8214588,-8.080028,-206.8988,15.7756,0.02408516
"Continuous asphalt network",72,33.4434471,-8.487094,-183.534668,7.88778639,0.008091693
"Continuous asphalt network",73,28.4802227,-8.421355,-191.082413,3.943813,0.0107842227
"Continuous asphalt network",74,31.4509888,-8.46844,-185.858337,3.94382262,0.0053769364
"Continuous asphalt network",75,37.6460571,-8.45255,-175.554367,15.7755747,0.0101357326
"Continuous asphalt network",76,29.7479076,-8.417979,-191.803329,31.5508156,0.0117015718
"Continuous asphalt network",77,54.6965942,-8.92233,-206.370926,15.3491955,0.00701296469
"Continuous asphalt network",78,59.1504669,-8.947748,-198.809265,7.67463875,0.00205077464
"Continuous asphalt network",79,56.8641319,-8.932416,-204.22261,7.674632,0.005781125
"Continuous asphalt network",80,65.77187,-8.898284,-189.099289,15.34915,0.008278123
"Continuous asphalt network",81,60.4309349,-8.943089,-199.5072,3.83729768,0.00331496214
"Continuous asphalt network",82,57.632412,-8.930344,-204.641373,3.837295,0.00619153539
"Continuous asphalt network",83,61.3180046,-8.942878,-196.66095,7.67458153,0.00451262062
"Continuous asphalt network",84,48.9807625,-8.743972,-219.9043,15.349411,0.0148168551
"Continuous asphalt network",85,42.2405663,-8.424456,-232.879318,7.67461634,0.0378098078
"Continuous asphalt network",86,44.5269,-8.59098148,-227.465942,7.6747,0.0266374536
"Continuous asphalt network",87,50.75491,-8.829314,-214.211746,30.6984081,0.0145115172
"Continuous asphalt network",88,62.06778,-8.923824,-190.410049,15.3493633,0.0163042918
"Continuous asphalt network",89,66.4028549,-8.867925,-186.113419,15.3491669,0.0213830378
"Continuous asphalt network",90,57.613903,-8.947822,-197.971725,30.69868,0.0109755211
"Continuous asphalt network",91,67.66481,-8.823081,-180.141678,30.698555,0.00381957833
"Continuous asphalt network",92,63.2406425,-8.872262,-186.8871,3.83733964,0.0187238045
"Continuous asphalt network",93,63.3000374,-8.823427,-185.254578,3.83738184,0.0415222235
"Continuous asphalt network",94,60.5312157,-8.935798,-189.57251,3.8372767,0.015965078
"Continuous asphalt network",95,61.4182854,-8.883075,-186.726242,0.959332645,0.0237988
"Continuous asphalt network",96,61.98987,-8.831386,-185.372879,0.959332645,0.0502629839
"Continuous asphalt network",97,61.64468,-8.896149,-187.682083,1.91865277,0.0238695368
"Continuous asphalt network",98,64.502594,-8.815959,-180.91539,1.91866982,0.00139112235
"Continuous asphalt network",99,63.13303,-8.766121,-182.666214,0.9593269,0.10546276
"Continuous asphalt network",100,63.70461,-8.784225,-181.312881,0.959344268,0.117996022
"Continuous asphalt network",101,65.1038742,-8.814507,-178.745773,3.837343,0.001545926
"Continuous asphalt network",102,64.4135056,-8.808299,-183.364151,7.674691,0.024448799
"Continuous asphalt network",103,19.8128681,-3.11284518,-131.180283,40.096035,0.0141114695
"Continuous asphalt network",104,0.366902679,-3.41585732,-118.955994,20.0479259,0.0115505308
"Continuous asphalt network",105,13.6949692,-3.22090149,-126.417976,20.0479145,0.0140059469
"Continuous asphalt network",106,40.3511047,-2.790887,-141.341949,20.0481949,0.0141259972
"Continuous asphalt network",107,53.67917,-2.57417226,-148.80394,20.0481815,0.0142755611
"Continuous asphalt network",108,33.140934,-2.89747071,-138.642258,40.09606,0.0141232945
"Continuous asphalt network",109,-7.389393,-3.52967644,-117.287605,80.1924057,0.0167490933
"Continuous asphalt network",110,12.3296366,-3.219241,-128.996246,40.0965347,0.014132252
"Continuous asphalt network",111,-1.54455948,-3.44111633,-122.565575,40.09653,0.01500661
"Continuous asphalt network",112,80.3353043,-2.12548232,-163.727921,20.04801,0.0151287559
"Continuous asphalt network",113,93.66337,-1.88497961,-171.1899,20.0479679,0.0163629856
"Continuous asphalt network",114,73.12514,-2.24139118,-161.028214,40.09602,0.0152070262
"Continuous asphalt network",115,113.655457,-1.51081276,-182.382858,20.0482044,0.0162826926
"Continuous asphalt network",116,130.452087,-1.194766,-191.4525,5.012079,0.01761665
"Continuous asphalt network",117,140.516418,-0.9713774,-196.92009,2.50630665,0.0237695873
"Continuous asphalt network",118,133.715836,-1.12798822,-193.446915,2.50631142,0.0176602621
"Continuous asphalt network",119,120.182961,-1.38617957,-186.371658,10.0241394,0.0163408369
"Continuous asphalt network",120,92.98069,-1.88460732,-172.479,10.0241432,0.01636524
"Continuous asphalt network",121,79.37957,-2.125666,-165.532684,10.024128,0.0152046587
"Continuous asphalt network",122,100.054321,-1.75982988,-175.436523,20.0481644,0.0163467042
"Continuous asphalt network",123,32.04867,-2.895854,-140.70488,20.04817,0.0140205463
"Continuous asphalt network",124,52.17731,-2.57446122,-151.64003,10.0239172,0.0141815171
"Continuous asphalt network",125,38.57618,-2.78900146,-144.6937,10.023922,0.0139147444
"Continuous asphalt network",126,11.3739061,-3.218076,-130.801041,10.023881,0.0141801415
"Continuous asphalt network",127,-2.22722626,-3.44055271,-123.854706,10.02388,0.0149548575
"Continuous asphalt network",128,18.4475384,-3.110397,-133.758545,20.0481625,0.0141841955
"Continuous asphalt network",129,52.58691,-2.57418227,-150.866547,20.0481815,0.0141814947
"Continuous asphalt network",130,39.25884,-2.78932357,-143.404556,20.0482025,0.0140178148
