ax,az,bx,bz,cx,cz
-305.075073,-274.5332,-314.881653,-276.490417,-305.3629,-273.091064
-314.881653,-276.490417,-315.169556,-275.048035,-305.3629,-273.091064
-305.3629,-273.091064,-315.169556,-275.048035,-305.650665,-271.648865
-315.169556,-275.048035,-315.4573,-273.605774,-305.650665,-271.648865
-305.650665,-271.648865,-315.4573,-273.605774,-305.938538,-270.2065
-315.4573,-273.605774,-315.745117,-272.163727,-305.938538,-270.2065
-305.938538,-270.2065,-315.745117,-272.163727,-306.226379,-268.764282
-315.745117,-272.163727,-316.032959,-270.7215,-306.226379,-268.764282
-306.226379,-268.764282,-316.032959,-270.7215,-306.5142,-267.322144
-316.032959,-270.7215,-316.320831,-269.2791,-306.5142,-267.322144
-306.5142,-267.322144,-316.320831,-269.2791,-306.801971,-265.879944
-316.320831,-269.2791,-316.6086,-267.836853,-306.801971,-265.879944
-306.801971,-265.879944,-316.6086,-267.836853,-307.089783,-264.437622
-316.6086,-267.836853,-316.896423,-266.3947,-307.089783,-264.437622
-307.089783,-264.437622,-316.896423,-266.3947,-307.377655,-262.9953
-316.896423,-266.3947,-317.184235,-264.9525,-307.377655,-262.9953
-307.377655,-262.9953,-317.184235,-264.9525,-307.665466,-261.5532
-317.184235,-264.9525,-317.4721,-263.510223,-307.665466,-261.5532
-307.665466,-261.5532,-317.4721,-263.510223,-307.953247,-260.111023
-317.4721,-263.510223,-317.7599,-262.067932,-307.953247,-260.111023
-307.953247,-260.111023,-317.7599,-262.067932,-308.241058,-258.668671
-317.7599,-262.067932,-318.0477,-260.625763,-308.241058,-258.668671
-308.241058,-258.668671,-318.0477,-260.625763,-308.5289,-257.22644
-318.0477,-260.625763,-318.335541,-259.183533,-308.5289,-257.22644
-308.5289,-257.22644,-318.335541,-259.183533,-308.8167,-255.784225
-318.335541,-259.183533,-318.623352,-257.741241,-308.8167,-255.784225
-308.8167,-255.784225,-318.623352,-257.741241,-309.104523,-254.34201
-318.623352,-257.741241,-318.911163,-256.299,-309.104523,-254.34201
-309.104523,-254.34201,-318.911163,-256.299,-309.392334,-252.899719
-318.911163,-256.299,-319.198975,-254.856812,-309.392334,-252.899719
-309.392334,-252.899719,-319.198975,-254.856812,-309.6802,-251.457428
-319.198975,-254.856812,-319.4868,-253.414642,-309.6802,-251.457428
-309.6802,-251.457428,-319.4868,-253.414642,-309.968018,-250.015289
-319.4868,-253.414642,-319.774658,-251.972321,-309.968018,-250.015289
-309.968018,-250.015289,-319.774658,-251.972321,-310.2558,-248.5731
-319.774658,-251.972321,-320.062439,-250.5301,-310.2558,-248.5731
-310.2558,-248.5731,-320.062439,-250.5301,-310.543671,-247.130753
-320.062439,-250.5301,-320.35025,-249.087936,-310.543671,-247.130753
-310.543671,-247.130753,-320.35025,-249.087936,-310.831482,-245.688614
-320.35025,-249.087936,-320.638123,-247.645615,-310.831482,-245.688614
-310.831482,-245.688614,-320.638123,-247.645615,-311.119263,-244.246353
-320.638123,-247.645615,-320.9259,-246.203354,-311.119263,-244.246353
-311.119263,-244.246353,-320.9259,-246.203354,-311.4071,-242.804077
-320.9259,-246.203354,-321.213745,-244.761169,-311.4071,-242.804077
-311.4071,-242.804077,-321.213745,-244.761169,-311.694916,-241.361877
-321.213745,-244.761169,-321.501556,-243.318878,-311.694916,-241.361877
-311.694916,-241.361877,-321.501556,-243.318878,-311.982727,-239.919647
-321.501556,-243.318878,-321.789368,-241.876678,-311.982727,-239.919647
-311.982727,-239.919647,-321.789368,-241.876678,-312.270538,-238.477386
-321.789368,-241.876678,-322.077179,-240.434479,-312.270538,-238.477386
-312.270538,-238.477386,-322.077179,-240.434479,-312.55838,-237.035126
-322.077179,-240.434479,-322.365021,-238.992218,-312.55838,-237.035126
