x,z,area,grade
50.20231,-73.44373,16.79714,0.02307933
33.18248,-64.54574,8.398232,0.02180904
44.69866,-70.12778,8.398238,0.02304014
67.73103,-81.29188,8.398544,0.02324938
79.2472,-86.87391,8.398533,0.02211598
61.71849,-79.02578,16.79714,0.02324938
95.14614,-95.84735,27.90068,0.01303244
109.9446,-74.08279,18.53973,9.527757E-05
75.16006,-48.37236,13.62165,0.00781544
65.49709,-40.35197,6.810623,0.04354399
69.68775,-43.20376,6.810813,0.008413482
79.75756,-50.7787,27.24298,0.002159059
92.7364,-58.88862,13.62158,0.0003283136
101.1177,-64.5922,13.62158,0
87.73203,-56.92775,27.24294,0.001073144
66.37188,-43.11425,27.24333,0.01080118
73.93951,-49.70875,27.24337,0.007377462
63.25943,-42.802,27.24319,0.01898715
58.66191,-40.39566,27.24322,0.03839358
121.0018,-70.62299,55.16553,0.0004192098
134.8093,-77.09135,27.58282,0.0001044566
125.4871,-74.4999,27.58277,0.0002064314
148.5289,-84.85033,27.58317,0.0007455173
160.0059,-90.67087,6.895741,0.0113653
166.8877,-94.2277,3.447727,0.04315006
162.2705,-92.28668,3.447749,0.04253656
153.0582,-88.08197,13.79145,0.01117597
139.2507,-81.61359,27.58322,0.0007379248
125.3552,-76.43581,13.79168,0.0002064311
134.6774,-79.02726,13.79171,0.0001044565
256.5049,44.09541,0.05032118,0.1161224
174.0706,-100.6046,2.271428,0.05508105
168.1103,-119.4828,12.79416,0.05299057
166.3358,-126.7372,6.397186,0.03379289
166.7401,-121.8799,6.397213,0.05356272
167.5486,-112.1655,6.39724,0.06254861
167.9529,-107.3083,6.397208,0.07628056
168.5146,-114.6256,12.79419,0.06629239
168.4698,-129.2287,25.58852,0.04949943
169.6603,-121.9586,12.79427,0.06540203
170.4241,-126.8473,12.79433,0.04826374
149.8307,11.63535,49.36641,0.00213046
169.6152,23.32881,60.24237,0.001597825
183.8713,15.73452,70.23425,0.0009608505
175.5662,0.5360311,22.90263,0.0004359652
126.7113,-17.00173,37.37893,0.001790037
133.3527,-4.405701,37.37902,0.001513587
125.4547,-24.38801,74.75819,0.00173639
95.75363,29.38976,24.53808,0.0004372094
56.22607,-33.34474,2.385405,0.02845184
55.92318,-31.57794,2.385435,0.006777424
57.61312,-34.43505,4.770844,0.02729539
53.90635,-33.8143,4.770848,0.05875089
54.68759,-31.37102,2.38542,0.006833942
54.99049,-33.13783,2.38539,0.02854844
57.47366,-30.1215,19.08328,0.003815517
60.27172,-25.44185,38.16661,0.003815505
68.36301,-9.636067,38.16665,0
64.62027,-19.30578,19.08324,0.002776588
62.12511,-25.75223,19.08322,0.02212715
43.12218,-45.23656,8.183285,0.04665174
49.03444,-43.3799,8.183295,0.05437347
40.58794,-47.26271,16.3664,0.04496573
32.35237,-51.69444,32.73274,0.025428
48.4016,-41.73315,16.36642,0.05427216
41.22222,-44.60289,8.183243,0.04970536
43.75645,-42.57673,8.183206,0.05427629
50.51395,-38.60916,32.73299,0.06056857
19.75943,-54.49637,37.99932,0.03726571
25.62463,-50.01533,4.749886,0.03187564
27.21806,-49.15788,4.749897,0.01248554
30.54901,-46.70299,4.749919,0.000318798
28.66739,-49.04039,4.74992,0.01247978
24.25153,-53.40394,18.99971,0.02137721
35.18521,-44.87059,4.750012,0.0338525
36.77864,-44.01313,4.749881,0.04833521
40.10958,-41.55825,4.749938,0.06060999
38.22797,-43.89565,4.749943,0.05233517
46.48331,-38.12841,9.499866,0.06365379
42.68194,-41.16765,4.749917,0.05736228
39.2069,-44.36251,2.374928,0.0508985
41.08852,-42.02511,2.374925,0.05949217
33.15948,-47.94796,18.99974,0.03404348
26.20938,-54.33767,9.499801,0.02146941
29.03182,-50.83157,4.749887,0.01418593
30.91343,-48.49417,4.749804,0.01523035
87.43398,98.89748,2.089438,0.1464698
89.29746,99.5478,2.089446,0.1190216
86.1612,97.45661,4.178962,0.1423288
82.91755,100.1568,8.579926,0.1499087
82.80956,97.62153,8.579912,0.1679195
79.91549,100.3007,17.1599,0.1700259
73.96537,101.856,8.579951,0.1806554
70.25327,102.9865,2.14503,0.1781573
68.39723,103.5518,0.536217,0.1713256
67.66022,103.9047,0.5362267,0.1363749
69.52974,103.6563,1.07247,0.1753206
72.51832,103.1956,4.290043,0.1752519
78.52243,102.9079,4.289935,0.1682054
81.52448,102.764,4.289962,0.1548919
76.96741,101.7122,8.579954,0.1678343
60.69905,108.2077,34.3194,0.0123521
68.52885,106.6417,0.1340706,0.2060147
68.15696,106.7389,0.1340775,0.1084109
68.72828,106.91,0.2681023,0.1888177
68.68778,105.9593,0.2681399,0.248587
68.14345,106.422,0.1340775,0.1049421
68.51534,106.3248,0.1340706,0.2024825
67.43341,107.4087,0.5362669,0
68.17719,107.2143,0.5362511,0.1480287
70.03661,106.7282,1.072455,0.1839734
69.25236,105.9719,0.5362744,0.210966
69.27935,106.6058,0.5362403,0.2127445
67.53164,105.3001,0.2681257,0.1235033
67.17325,105.7143,0.2681434,0.001804226
68.09621,105.3128,0.5362369,0.2156712
67.03642,104.7086,0.06703316,0.1532101
66.85724,104.9157,0.06702308,0.04392172
67.3187,104.715,0.1340591,0.153212
66.74064,104.3854,0.1340599,0.1452
66.66454,104.8058,0.06702892,0.0358622
66.84373,104.5988,0.067039,0.1528144
66.78787,105.4946,0.2681162,0
67.3322,105.0319,0.1340387,0.1340466
66.96033,105.1291,0.1340417,0.05849465
67.03453,106.872,1.072482,0
67.94401,106.1537,0.2681115,0.1128381
68.30241,105.7396,0.268114,0.2202437
67.37943,106.141,0.536246,0.001461454
72.62629,105.7309,4.289925,0.1721563
69.58375,104.924,1.072509,0.1962061
68.06247,104.5205,0.2680877,0.2009547
67.30521,104.398,0.2680937,0.1532335
68.4546,104.8987,0.5362546,0.1952875
70.368,105.6803,2.144971,0.1913013
77.08887,104.5644,4.290077,0.1689032
81.56497,103.7148,2.145015,0.1536722
78.56292,103.8586,2.145001,0.1670846
72.55881,104.1463,2.145025,0.1747687
69.54999,104.1317,0.5362524,0.1778908
67.67035,104.1424,0.2681921,0.2362387
68.4276,104.2649,0.2681195,0.1715212
70.314,104.4126,1.072509,0.1773146
74.08683,104.7082,4.290075,0.1751164
43.01065,116.6766,34.31966,0
25.29524,124.5117,17.15884,0
37.14151,120.1334,17.15891,0
54.88391,112.9321,34.31966,0
67.51105,109.2309,0.5362667,0
68.25144,108.9573,0.5362679,0.1443522
67.11385,108.7339,1.072532,0
69.73221,108.41,1.072542,0.1695783
68.21769,108.165,0.2681049,0.1521033
67.46379,108.1217,0.2681185,0
68.60813,108.5035,0.5362638,0.1494302
72.69378,107.3154,2.144854,0.1677349
70.45237,107.661,1.072434,0.1789156
68.57777,107.7905,0.2681071,0.150396
67.45367,107.884,0.134094,0
68.20757,107.9273,0.1340872,0.1521027
69.71197,107.9346,0.5362218,0.1679248
77.13612,105.6736,2.144969,0.1689597
81.58523,104.1901,1.072598,0.1536577
78.61015,104.9678,1.072595,0.1685381
74.1543,106.2928,2.144942,0.1725119
70.42874,107.1064,0.5362607,0.1840057
68.56595,107.5132,0.1340406,0.1498632
67.4486,107.7652,0.06703188,0
68.19576,107.65,0.06702909,0.1496305
69.68835,107.38,0.2680797,0.1809485
72.67354,106.8401,1.072506,0.168496
60.78003,110.1092,17.16017,0
7.633831,133.6145,34.31992,0
-10.08157,141.4496,17.15996,0
1.76469,137.0713,17.15993,0
